sentence,label
"Мені учора щось снилося, але не памятаю що.","Мені учора щось снилося, але не пам'ятаю що снилося."
"Закон в США забороняє володіння наркотиками, не вживання.","Закон в США забороняє володіння наркотиками, не вживання наркотиків."
"Його вбили, але не знаю чому.","Його вбили, але не знаю чому його вбили."
"Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині тільки одна.","Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині подобається тільки одна."
"Я спочатку приправлю суп паприкою, а потім чорним перцем.","Я спочатку приправлю суп паприкою, а потім приправлю суп чорним перцем."
"Перша людина з Радянського Союза полетіла у космос 12 квітня, 1961, а перша з США 5 травня 1961.","Перша людина з Радянського Союза полетіла у космос 12 квітня 1961, а перша людина з США полетіла у космос 5 травня 1961."
"Іван грає у футбол щодня, а я раз на місяць.","Іван грає у футбол щодня, а я граю у футбол раз на місяць."
"Іван посміхається, і Михайло знає чому?","Іван посміхається, і Михайло знає, чому Іван посміхається."
"У дитинстві я їв багато морозива, але зараз мало.","У дитинстві я їв багато морозива, але зараз їм мало."
"Я люблю пиво, а ти вино.","Я люблю пиво, а ти любиш вино."
"Вона мене не любить, а я ії.","Вона мене не любить, а я люблю її."
"Вони сміються, але не знаємо над ким.","Вони сміються, але не знаємо над ким сміються."
"Він має уродини у червні, і вона теж.","Він має уродини у червні, і вона теж має уродини у червні."
"Він добре розуміє математику, й біологію також.","Він добре розуміє математику, й біологію також розуміє добре."
"Як тільки він поверне мою книгу сьогодні, то мені байдуже о котрій годині.","Як тільки він поверне мою книгу сьогодні, то мені байдуже о котрій годині він поверне мою книгу."
"У понеділок ми читали першу частину роману, а у вівторок другу.","У понеділок ми читали першу частину роману, а у вівторок читали другу."
"Я в'їхав велосипедом у машину не два рази, а три.","Я в'їхав велосипедом у машину не два рази, а три рази."
"Ми дуже хочемо подорожувати по Україні, але зараз не можемо.","Ми дуже хочемо подорожувати по Україні, але зараз не можемо подорожувати."
"Я зробив одну канапку уранці, й потім ще одну увечері.","Я зробив одну канапку уранці, й потім зробив ще одну увечері."
"Я вмію керувати човном, але не літаком.","Я вмію керувати човном, але не вмію керувати літаком."
"Вона знає більше про свою країну, ніж він.","Вона знає більше про свою країну, ніж він знає про свою."
"Я сьогодні розмовляю голосніше, ніж учора.","Я сьогодні розмовляю голосніше, ніж учора розмовляв."
"Вона вбила його, але чим не знаємо.","Вона вбила його, але чим вбила не знаємо."
"Моя дружина завжди приймає душ вранці, а я ввечері.","Моя дружина завжди приймає душ вранці, а я завжди приймаю душ ввечері."
"Я зробив канапку учора вранці, й потім ще раз ввечері.","Я зробив канапку учора вранці, й потім зробив ще раз ввечері."
"Я не їм стільки, як він.","Я не їм стільки, як він їсть."
"Кордон Фінландії з Росією довгий, з Норвегією короткий, а з Швецією - десь посередині.","Кордон Фінландії з Росією довгий, з Норвегією короткий, а з Швецією - десь посередині."
"Я волію слухати його старі пісні, а не нові.","Я волію слухати його старі пісні, а не нові пісні."
"Вони прийшли до мене не у середу, а у четверг.","Вони прийшли до мене не у середу, а у четверг."
"Я більше п'ю віскі, ніж він горілку.","Я більше п'ю віскі, ніж він п'є горілку."
"Мій брат думає, що краще полювати з луком, ніж з гвинтівкою.","Мій брат думає, що краще полювати з луком, ніж з гвинтівкою."
"Він завжди замовляє холодні страви, а вона гарячі.","Він завжди замовляє холодні страви, а вона завжди замовляє гарячі."
"Мені треба прибрати кімнату для гостей сьогодні, а тобі завтра.","Мені треба прибрати кімнату для гостей сьогодні, а тобі треба прибрати кімнату для гостей завтра."
"Вона вмерла у 1975, а ії чоловік на рік пізніше у 1976.","Вона вмерла у 1975, а ії чоловік вмер на рік пізніше у 1976."
"Вони запрошували мене піти на озеро, але я не мав часу.","Вони запрошували мене піти на озеро, але я не мав часу."
"Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж.","Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж подобаються."
"Я їм більше фруктів, ніж овочів.","Я їм більше фруктів, ніж овочів."
"Ми прийшли сюди тому, що ми хотіли.","Ми прийшли сюди тому, що ми хотіли."
"Я розмовляю голосніше англійскою, ніж українською.","Я розмовляю голосніше англійською, ніж українською."
"Краще втратити цілий день, ніж цілий тиждень.","Краще втратити цілий день, ніж втратити цілий тиждень."
"Це речення вважається в англійській мові неправильним, але в українській правильним.","Це речення вважається в англійській мові неправильним, але в українській мові правильним."
