sentence,label
"Вона встала й вийшла, але ії чоловік не знав чому.","Вона встала й вийшла, але ії чоловік не знав, чому вона вийшла."
"Він сумнівається, що колись виграє у лото, але все одно сподівається.","Він сумнівається, що колись виграє у лото, але все одно сподівається."
"Подруга завжди рекомендує мені нову музику, але я ще слухаю стару.","Подруга завжди рекомендує мені нову музику, але я ще слухаю стару."
"Я сьогодні розмовляю голосніше, ніж Іван учора.","Я сьогодні розмовляю голосніше, ніж Іван розмовляв учора."
"Вони зараз розмовляють українською мовою, не російською.","Вони зараз розмовляють українською мовою, не російською."
"Учора тут падав дощ, а не сніг.","Учора тут падав дощ, а не сніг."
"Хоч ми хотіли порушити закон, ми не наважилися.","Хоч ми хотіли порушити закон, ми не наважилися."
"У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько на пінгвінів.","У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько на пінгвінів."
"У зоопарку я люблю дивитися на слонів, і мої сестри теж.","У зоопарку я люблю дивитися на слонів, і мої сестри теж люблять дивитися на слонів."
"Лідія каже, що Іван видалив файли випадково, а Марія каже, що навмисно.","Лідія каже, що Іван видалив файли випадково, а Марія каже, що Іван видалив файли навмисно."
Я ненавиджу Марка і тебе теж.,Я ненавиджу Марка і тебе теж ненавиджу.
"Там я уперше спробував сало, й ти теж.","Там я уперше спробував сало, й ти теж спробував сало."
"Я підготую матеріали на понеділок, а ти на вівторок.","Я підготую матеріали на понеділок, а ти підготуєш матеріали на вівторок."
"Жуков вів свою армію на Берлін з півночі, а Конєв з півдня.","Жуков вів свою армію на Берлін з півночі, а Конєв вів свою армію на Берлін з півдня."
"Незнайомий дав мені подарунок, але не знаю за що.","Незнайомий дав мені подарунок, але я не знаю за що."
"У дитинстві я грав у баскетбол, а мій приятель у бейсбол.","У дитинстві я грав у баскетбол, а мій приятель грав у бейсбол."
"Журавлі літають швидше, ніж голуби.","Журавлі літають швидше, ніж голуби літають."
"Я не вмію танцювати, а мій брат плавати.","Я не вмію танцювати, а мій брат вміє плавати."
"Я його люблю, але не так сильно.","Я його люблю, але не так сильно, як він мене."
Тоді яке?!,Тоді яке ще?!
"Я хотів кращу шапку, не цю.","Я хотів кращу шапку, не цю."
"Моя мати хоче новий комп'ютер, але ще не знає, якого бренду.","Моя мати хоче новий комп'ютер, але ще не знає, якого бренду купити."
"Я поставив йому три питання, і тобі теж.","Я поставив йому три питання, і тобі теж поставив три питання."
"Я не хотів, але учора ми ходили в кіно.","Я не хотів ходити, але учора ми ходили в кіно."
"Мені подобається ця пісня, але не знаю чому.","Мені подобається ця пісня, але не знаю чому."
"Я розбив чашку, а сестра тарілку.","Я розбив чашку, а сестра розбила тарілку."
"Григорій готує макарони, а Олена песто.","Григорій готує макарони, а Олена готує песто."
"Він придумав мелодію песни, а вона текст.","Він придумав мелодію песни, а вона текст песни."
"Офіцери носять кашкети, а солдати прості пілотки.","Офіцери носять кашкети, а солдати носять прості пілотки."
Батькові.,Батькові.
"Він добре готує суп з м'ясом, а вона без мяса.","Він добре готує суп з м'ясом, а вона добре готує суп без мяса."
"Демократи голосують за законопроєкт, а республиканці проти.","Демократи голосують за законопроєкт, а республиканці голосують проти."
"Чоловік описує якесь місто, але нам неясно, яке.","Чоловік описує якесь місто, але нам неясно, яке місто він описує."
Кожен рік він випадково розбиває чашку і його мати теж.,Кожен рік він випадково розбиває чашку і його мати теж розбиває.
"Батько не їсть зелену цібулю, тільки червону.","Батько не їсть зелену цібулю, тільки червону їсть."
"Григорій мешкає у Львові, а Дмитро у Києві.","Григорій мешкає у Львові, а Дмитро мешкає у Києві."
"Я приправлю суп паприкою, а ти чорним перцем.","Я приправлю суп паприкою, а ти приправиш суп чорним перцем."
"Іван щодня грає у футбол, а я в теніс.","Іван щодня грає у футбол, а я граю в теніс."
"Щодня вранці батько їсть пластівці, і ввечері також.","Щодня вранці батько їсть пластівці, і ввечері також їсть пластівці."
"Віра й Олена читають газету, а Борис книгу.","Віра й Олена читають газету, а Борис читає книгу."
"Я не вмію танцювати танґо, але хочу навчитися.","Я не вмію танцювати танґо, але хочу навчитися."
"У 1950-ому році у Детройті мешкало понад 1,8 мільйона осіб, а вже у 2000-ому році менше мільйона.","У 1950-ому році у Детройті мешкало понад 1,8 мільйона осіб, а вже у 2000-ому році мешкало менше мільйона."
Я ненавиджу Марка і ти теж.,Я ненавиджу Марка і ти теж ненавидиш.
"Моя мати працює не тільки вдень, а і ввечері.","Моя мати працює не тільки вдень, а і ввечері."
"Я не можу бачити без окуларів, а моя дівчина може.","Я не можу бачити без окуларів, а моя дівчина може бачити."
"Іван щодня грає у футбол, і я теж.","Іван щодня грає у футбол, і я теж граю."
"Щороку я перечитуваю ""Володара перснів"", а моя сестра ""Гобіта"".","Щороку я перечитуваю ""Володара перснів"", а моя сестра перечитує ""Гобіта""."
"Ніколи не хочу користуватися духовкою, тому що важко.","Ніколи не хочу користуватися духовкою, тому що це важко."
"Я збираюся купити машину, а ти продати.","Я збираюся купити машину, а ти збираєшся продати машину."
"Я їм більше фруктів, ніж Михайло.","Я їм більше фруктів, ніж Михайло їсть."
"Федір часто знайомиться з новими людьми, а Олена рідко.","Федір часто знайомиться з новими людьми, а Олена рідко знайомиться з новими людьми."
"Я приготував питання не тільки Радославу, але й Яні.","Я приготував питання не тільки Радославу, але й Яні."
"Щодня вранці батько їсть пластівці, а ввечері стейк.","Щодня вранці батько їсть пластівці, а ввечері їсть стейк."
"Моя дівчина завжди хоче ходити в кіно, а я николі не хочу.","Моя дівчина завжди хоче ходити в кіно, а я николі не хочу ходити в кіно."
"Ми вчимося мовам, а наші друзі бізнесу.","Ми вчимося мовам, а наші друзі бізнесу."
"Павло грає на скрипці, Данило на віолончелі а Петро роялі.","Павло грає на скрипці, Данило на віолончелі, а Петро на роялі."
"Я був на канікулах у Франції, сестра в Ірландії, а мої батьки у Швеції.","Я був на канікулах у Франції, сестра була в Ірландії, а мої батьки були у Швеції."
"Сорочка мені трошки завелика, а штани замалі.","Сорочка мені трошки завелика, а штани мені замалі."
"Я приготував питання не тільки до Радослава, але й до Яни.","Я приготував питання не тільки до Радослава, але й до Яни."
"На Різдво моя сестра готує вареники з картоплею, а я з м'ясом.","На Різдво моя сестра готує вареники з картоплею, а я готую вареники з м'ясом."
"Сьогодні підемо в бар, але мені ще не сказали коли.","Сьогодні підемо в бар, але мені ще не сказали коли."
"Вони можуть бігати швидше, ніж я.","Вони можуть бігати швидше, ніж я можу."
"Ми дуже хочемо подорожувати Україною, але зараз не можемо.","Ми дуже хочемо подорожувати Україною, але зараз не можемо."
"Я не готую так добре, як ти.","Я не готую так добре, як ти готуєш."
"На цій плантації вирощують, збирають, і обробляють алое, а на цій тютюн.","На цій плантації вирощують, збирають, і обробляють алое, а на цій вирощують, збирають, і обробляють тютюн."
"США офіційно проголосили незалежність від Велико-Британії у 1783 році, а Україна від Радянського Союза у 1991 році.","США офіційно проголосили незалежність від Велико-Британії у 1783 році, а Україна проголосила незалежність від Радянського Союза у 1991 році."
"Моя мати хоче новий комп'ютер, але ще не знає, який.","Моя мати хоче новий комп'ютер, але ще не знає, який комп'ютер."
"Він має уродини у червні, а вона у жовтні.","Він має уродини у червні, а вона має уродини у жовтні."
"Мої друзі поїдуть туда літаком, а я машиною.","Мої друзі поїдуть туда літаком, а я поїду туда машиною."
"Чи не можеш відповісти, чи просто просто не хочеш?","Чи не можеш відповісти, чи просто не хочеш?"
"Він говорить з чужим акцентом, але ми не знаємо чому.","Він говорить з чужим акцентом, але ми не знаємо, чому він говорить з чужим акцентом."
"В англійській мові неможливо зробити складний іменник з 20-и слів, а в німецкій можливо.","В англійській мові неможливо зробити складний іменник з 20-и слів, а в німецькій можливо зробити."
"Ми хочемо піти на екскурсію до музею, а ви до театру.","Ми хочемо піти на екскурсію до музею, а ви хочете піти на екскурсію до театру."
"Я поставив йому три питання, а їй тільки два.","Я поставив йому три питання, а їй поставив тільки два."
"Максимові подобається чай, а Галині кава.","Максимові подобається чай, а Галині подобається кава."
"По понеділкам я ходжу з лекції до магазину вранці, а по п'ятницям ввечері.","По понеділкам я ходжу з лекції до магазину вранці, а по п'ятницям ходжу до магазину ввечері."
"Чоловік описує якесь місто, але нам незрозуміло, яке.","Чоловік описує якесь місто, але нам незрозуміло, яке місто він описує."
"Я хотів чай з Китаю, не з Індії.","Я хотів чай з Китаю, а не з Індії."
"Ми поїдемо до парку машиною, а вони велосипедом.","Ми поїдемо до парку машиною, а вони поїдуть до парку велосипедом."
"Максимові подобається шоколад, а Галині цукерки.","Максимові подобається шоколад, а Галині подобаються цукерки."
"Я поставив йому три питання, і ти теж.","Я поставив йому три питання, і ти теж поставив."
"Іра не така модна, як Юля.","Іра не така модна, як Юля модна."
"Я не вмію готувати так добре, як ти.","Я не вмію готувати так добре, як ти вмієш."
"Мені учора щось снилося, але не памятаю що.","Мені учора щось снилося, але не пам'ятаю, що."
"Закон в США забороняє володіння наркотиками, не вживання.","Закон в США забороняє володіння наркотиками, а не вживання."
"Його вбили, але не знаю чому.","Його вбили, але я не знаю чому."
"Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині тільки одна.","Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині тільки одна."
"Я спочатку приправлю суп паприкою, а потім чорним перцем.","Я спочатку приправлю суп паприкою, а потім чорним перцем."
"Перша людина з Радянського Союза полетіла у космос 12 квітня, 1961, а перша з США 5 травня 1961.","Перша людина з Радянського Союза полетіла у космос 12 квітня, 1961, а перша з США полетіла 5 травня 1961."
"Іван грає у футбол щодня, а я раз на місяць.","Іван грає у футбол щодня, а я граю у футбол раз на місяць."
"Іван посміхається, і Михайло знає чому?","Іван посміхається, і Михайло знає, чому Іван посміхається."
"У дитинстві я їв багато морозива, але зараз мало.","У дитинстві я їв багато морозива, але зараз їм мало."
"Я люблю пиво, а ти вино.","Я люблю пиво, а ти любиш вино."
"Вона мене не любить, а я ії.","Вона мене не любить, а я люблю ії."
"Вони сміються, але не знаємо над ким.","Вони сміються, але ми не знаємо над ким."
"Він має уродини у червні, і вона теж.","Він має уродини у червні, і вона теж має уродини у червні."
"Він добре розуміє математику, й біологію також.","Він добре розуміє математику, й біологію також розуміє добре."
"Як тільки він поверне мою книгу сьогодні, то мені байдуже о котрій годині.","Як тільки він поверне мою книгу сьогодні, то мені байдуже, о котрій годині він поверне мою книгу."
"У понеділок ми читали першу частину роману, а у вівторок другу.","У понеділок ми читали першу частину роману, а у вівторок читали другу."
"Я в'їхав велосипедом у машину не два рази, а три.","Я в'їхав велосипедом у машину не два рази, а три рази."
"Ми дуже хочемо подорожувати по Україні, але зараз не можемо.","Ми дуже хочемо подорожувати по Україні, але зараз не можемо."
"Я зробив одну канапку уранці, й потім ще одну увечері.","Я зробив одну канапку уранці, й потім зробив ще одну увечері."
"Я вмію керувати човном, але не літаком.","Я вмію керувати човном, але не вмію керувати літаком."
"Вона знає більше про свою країну, ніж він.","Вона знає більше про свою країну, ніж він знає про свою."
"Я сьогодні розмовляю голосніше, ніж учора.","Я сьогодні розмовляю голосніше, ніж учора."
"Вона вбила його, але чим не знаємо.","Вона вбила його, але чим, не знаємо."
"Моя дружина завжди приймає душ вранці, а я ввечері.","Моя дружина завжди приймає душ вранці, а я приймаю душ ввечері."
"Я зробив канапку учора вранці, й потім ще раз ввечері.","Я зробив канапку учора вранці, й потім зробив ще раз ввечері."
"Я не їм стільки, як він.","Я не їм стільки, скільки він їсть."
"Кордон Фінландії з Росією довгий, з Норвегією короткий, а з Швецією - десь посередині.","Кордон Фінландії з Росією довгий, з Норвегією короткий, а з Швецією - десь посередині."
"Я волію слухати його старі пісні, а не нові.","Я волію слухати його старі пісні, а не нові."
"Вони прийшли до мене не у середу, а у четверг.","Вони прийшли до мене не у середу, а у четверг."
"Я більше п'ю віскі, ніж він горілку.","Я більше п'ю віскі, ніж він п'є горілку."
"Мій брат думає, що краще полювати з луком, ніж з гвинтівкою.","Мій брат думає, що краще полювати з луком, ніж полювати з гвинтівкою."
"Він завжди замовляє холодні страви, а вона гарячі.","Він завжди замовляє холодні страви, а вона замовляє гарячі."
"Мені треба прибрати кімнату для гостей сьогодні, а тобі завтра.","Мені треба прибрати кімнату для гостей сьогодні, а тобі треба прибрати кімнату для гостей завтра."
"Вона вмерла у 1975, а ії чоловік на рік пізніше у 1976.","Вона вмерла у 1975, а ії чоловік умер у 1976."
"Вони запрошували мене піти на озеро, але я не мав часу.","Вони запрошували мене піти на озеро, але я не мав часу."
"Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж.","Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж подобаються."
"Я їм більше фруктів, ніж овочів.","Я їм більше фруктів, ніж овочів."
"Ми прийшли сюди тому, що ми хотіли.","Ми прийшли сюди тому, що ми хотіли прийти сюди."
"Я розмовляю голосніше англійскою, ніж українською.","Я розмовляю голосніше англійскою, ніж українською."
"Краще втратити цілий день, ніж цілий тиждень.","Краще втратити цілий день, ніж цілий тиждень втратити."
"Це речення вважається в англійській мові неправильним, але в українській правильним.","Це речення вважається в англійській мові неправильним, але в українській правильним."
