sentence,label
"Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж.","Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж."
"В Америці ми прикрашаемо ялку на Різдво, а в Россії на Новий рік.","В Америці ми прикрашаемо ялку на Різдво, а в Россії ___ на Новий рік."
"Я поставив йому три питання, і ти теж.","Я поставив йому три питання, і ти ___ теж."
Кожен рік він випадково розбиває чашку і його мати теж.,Кожен рік він випадково розбиває чашку і його мати теж ___.
"Ми дуже хочемо подорожувати по Україні, але зараз не можемо.","Ми дуже хочемо подорожувати по Україні, але зараз не можемо."
"Моя дружина завжди приймає душ вранці, а я ввечері.","Моя дружина завжди приймає душ вранці, а я ___ ввечері."
"На цій плантації вирощують, збирають, і обробляють алое, а на цій тютюн.","На цій плантації вирощують, збирають, і обробляють алое, а на цій ___ тютюн."
"Вона вбила його, але чим не знаємо.","Вона вбила його, але чим ___ не знаємо."
"Вони ненавидять наш дім, але люблять свій.","Вони ненавидять наш дім, але люблять ___ свій."
"Там я уперше спробував сало, й ти теж.","Там я уперше спробував сало, й ти ___ теж."
Я ненавиджу Марка і ти теж.,Я ненавиджу Марка і ти теж ___.
"Іван пише книгу, а Микола музику.","Іван пише книгу, а Микола ___ музику."
"Павло грає на скрипці, Данило на віолончелі а Петро роялі.","Павло грає на скрипці, Данило на віолончелі, а Петро ___ на роялі."
"Вони купили надувний замок, але не ясно кому.","Вони купили надувний замок, але не ясно кому ___."
"Я не вмію танцювати танґо, але хочу навчитися.","Я не вмію танцювати танґо, але хочу навчитися."
"Ми хочемо піти на екскурсію до музею, а ви до театру.","Ми хочемо піти на екскурсію до музею, а ви ___ до театру."
"Я їм більше фруктів, ніж Михайло.","Я їм більше фруктів, ніж Михайло ___."
"Він придумав мелодію песни, а вона текст.","Він придумав мелодію песни, а вона ___ текст."
Тоді яке?!,Тоді яке?!
"Він добре розуміє математику, й біологію також.","Він добре розуміє математику, й ___ біологію також."
"Вони можуть бігати швидше, ніж я.","Вони можуть бігати швидше, ніж я."
"У зоопарку я люблю дивитися на слонів, і мої сестри теж.","У зоопарку я люблю дивитися на слонів, і мої сестри теж."
"По понеділкам я ходжу з лекції до магазину вранці, а по п'ятницям ввечері.","По понеділкам я ходжу з лекції до магазину вранці, а по п'ятницям ___ ввечері."
"Іван щодня грає у футбол, а я в теніс.","Іван щодня грає у футбол, а я ___ в теніс."
"Я люблю пиво, а ти вино.","Я люблю пиво, а ти ___ вино."
Я ненавиджу Марка і тебе теж.,Я ненавиджу Марка і тебе теж.
"Чи не можеш відповісти, чи просто просто не хочеш?","Чи не можеш відповісти, чи просто не хочеш ___?"
"Лідія каже, що Іван видалив файли випадково, а Марія каже, що навмисно.","Лідія каже, що Іван видалив файли випадково, а Марія каже, що ___ навмисно."
"Я був на канікулах у Франції, сестра в Ірландії, а мої батьки у Швеції.","Я був на канікулах у Франції, сестра в Ірландії, а мої батьки ___ у Швеції."
"Він добре готує суп з м'ясом, а вона без мяса.","Він добре готує суп з м'ясом, а вона ___ без мяса."
"У дитинстві я грав у баскетбол, а мій приятель у бейсбол.","У дитинстві я грав у баскетбол, а мій приятель ___ у бейсбол."
"Федір часто знайомиться з новими людьми, а Олена рідко.","Федір часто знайомиться з новими людьми, а Олена ___ рідко."
"Як тільки він поверне мою книгу сьогодні, то мені байдуже о котрій годині.","Як тільки він поверне мою книгу сьогодні, то мені байдуже о котрій годині."
Вона вважає його доброю людиною і він ії.,Вона вважає його доброю людиною і він ___ ії.
"Щодня вранці батько їсть пластівці, і ввечері також.","Щодня вранці батько їсть пластівці, і ввечері ___ також."
"Я не вмію готувати так добре, як ти.","Я не вмію готувати так добре, як ти."
"Вона мене не любить, а я ії.","Вона мене не любить, а я ___ ії."
"Я волію слухати його старі пісні, а не нові.","Я волію слухати його старі пісні, а не ___ нові."
"Коти бавляться малими іграшками, а пси великими.","Коти бавляться малими іграшками, а пси ___ великими."
"Моя мати хоче новий комп'ютер, але ще не знає, який.","Моя мати хоче новий комп'ютер, але ще не знає, який ___."
"Я більше п'ю віскі, ніж він горілку.","Я більше п'ю віскі, ніж він ___ горілку."
"Добрі студенти завжди роблять домашне завдання, а погані студенти ніколи.","Добрі студенти завжди роблять домашне завдання, а погані студенти ніколи ___."
"Я приправлю суп паприкою, а ти чорним перцем.","Я приправлю суп паприкою, а ти ___ чорним перцем."
"Я поставив йому три питання, а їй тільки два.","Я поставив йому три питання, а їй тільки ___ два."
"Сорочка мені трошки завелика, а штани замалі.","Сорочка мені трошки завелика, а штани ___ замалі."
"Сьогодні підемо в бар, але мені ще не сказали коли.","Сьогодні підемо в бар, але мені ще не сказали коли."
"Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині тільки одна.","Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині тільки одна ___."
"Хочу поїхати за кордон, але не знаю куди.","Хочу поїхати за кордон, але не знаю куди ___."
"Вони зараз розмовляють українською мовою, не російською.","Вони зараз розмовляють українською мовою, не ___ російською."
"Моя дівчина завжди хоче ходити в кіно, а я николі не хочу.","Моя дівчина завжди хоче ходити в кіно, а я николі не хочу ___."
"Моя мати хоче новий комп'ютер, але ще не знає, якого бренду.","Моя мати хоче новий комп'ютер, але ще не знає, якого бренду ___."
"Я його люблю, але не так сильно.","Я його люблю, але не так сильно ___."
Чому?,Чому?
"Іван грає у футбол щодня, а я раз на місяць.","Іван грає у футбол щодня, а я ___ раз на місяць."
"Іра не така модна, як Юля.","Іра не така модна, як Юля."
"Я не вмію танцювати, а мій брат плавати.","Я не вмію танцювати, а мій брат ___ плавати."
"До піци я завжди додаю цібулю, а моя дівчина перець.","До піци я завжди додаю цібулю, а моя дівчина ___ перець."
"Ніколи не хочу користуватися духовкою, тому що важко.","Ніколи не хочу користуватися духовкою, тому що важко."
"Максимові подобається шоколад, а Галині цукерки.","Максимові подобається шоколад, а Галині ___ цукерки."
"Щороку я перечитуваю ""Володара перснів"", а моя сестра ""Гобіта"".","Щороку я перечитуваю ""Володара перснів"", а моя сестра ___ ""Гобіта""."
"Я підготую матеріали на понеділок, а ти на вівторок.","Я підготую матеріали на понеділок, а ти ___ на вівторок."
"Щодня вранці батько їсть пластівці, а ввечері стейк.","Щодня вранці батько їсть пластівці, а ввечері ___ стейк."
"Він завжди замовляє холодні страви, а вона гарячі.","Він завжди замовляє холодні страви, а вона ___ гарячі."
"Я розмовляю голосніше, ніж Іван.","Я розмовляю голосніше, ніж Іван ___."
"Я не хотів, але учора ми ходили в кіно.","Я не хотів, але учора ми ходили в кіно."
"Я приготував питання не тільки до Радослава, але й до Яни.","Я приготував питання не тільки до Радослава, але й до Яни ___."
"Незнайомий дав мені подарунок, але не знаю за що.","Незнайомий дав мені подарунок, але не знаю за що ___."
"Демократи голосують за законопроєкт, а республиканці проти.","Демократи голосують за законопроєкт, а республиканці ___ проти."
"Я розмовляю голосніше англійскою, ніж українською.","Я розмовляю голосніше англійскою, ніж ___ українською."
"Він відремонтував моє авто, але я не розумію як.","Він відремонтував моє авто, але я не розумію як ___."
"Кордон Фінландії з Росією довгий, з Норвегією короткий, а з Швецією - десь посередині.","Кордон Фінландії з Росією довгий, з Норвегією короткий, а з Швецією - ___ десь посередині."
"Ми вчимося мовам, а наші друзі бізнесу.","Ми вчимося мовам, а наші друзі ___ бізнесу."
"Журавлі літають швидше, ніж голуби.","Журавлі літають швидше, ніж голуби."
"Я добре розумію математику, але не біологію.","Я добре розумію математику, але не ___ біологію."
"Ці квитки на концерт було куплено для нас, а не для вас.","Ці квитки на концерт було куплено для нас, а не ___ для вас."
"У дитинстві я їв багато морозива, але зараз мало.","У дитинстві я їв багато морозива, але зараз ___ мало."
"Іван посміхається, і Михайло знає чому?","Іван посміхається, і Михайло знає чому ___?"
"Вона вмерла у 1975, а ії чоловік на рік пізніше у 1976.","Вона вмерла у 1975, а ії чоловік на рік пізніше у 1976."
"Перший космонавт з Радянського Союза полетів у космос 12 квітня, 1961, а перший з США 5 травня 1961.","Перший космонавт з Радянського Союза полетів у космос 12 квітня, 1961, а перший з США ___ 5 травня 1961."
"Я зробив одну канапку уранці, й потім ще одну увечері.","Я зробив одну канапку уранці, й потім ще одну ___ увечері."
"Перша людина з Радянського Союза полетіла у космос 12 квітня, 1961, а перша з США 5 травня 1961.","Перша людина з Радянського Союза полетіла у космос 12 квітня, 1961, а перша з США ___ 5 травня 1961."
"Це речення вважається в англійській мові неправильним, але в українській правильним.","Це речення вважається в англійській мові неправильним, але в українській ___ правильним."
"У понеділок ми читали першу частину роману, а у вівторок другу.","У понеділок ми читали першу частину роману, а у вівторок ___ другу."
"Я в'їхав велосипедом у машину не два рази, а три.","Я в'їхав велосипедом у машину не два рази, а ___ три."
"Я хотів кращу шапку, не цю.","Я хотів кращу шапку, не ___ цю."
"Я поставив йому три питання, і тобі теж.","Я поставив йому три питання, і тобі ___ теж."
"Ми дуже хочемо подорожувати Україною, але зараз не можемо.","Ми дуже хочемо подорожувати Україною, але зараз не можемо ___."
"Григорій готує макарони, а Олена песто.","Григорій готує макарони, а Олена ___ песто."
"Щось купили на ринку, але ще не сказали що.","Щось купили на ринку, але ще не сказали що ___."
"Мій брат думає, що краще полювати з луком, ніж з гвинтівкою.","Мій брат думає, що краще полювати з луком, ніж ___ з гвинтівкою."
"Я зробив канапку учора вранці, й потім ще раз ввечері.","Я зробив канапку учора вранці, й потім ще раз ___ ввечері."
"Завтра я принесу лід, а ти пиво.","Завтра я принесу лід, а ти ___ пиво."
"Я сьогодні розмовляю голосніше, ніж Іван учора.","Я сьогодні розмовляю голосніше, ніж Іван ___ учора."
"Вони сміються, але не знаємо над ким.","Вони сміються, але не знаємо над ким ___."
Багато?,Багато?
"Я не готую так добре, як ти.","Я не готую так добре, як ти ___."
"Я приготував питання не тільки Радославу, але й Яні.","Я приготував питання не тільки Радославу, але й ___ Яні."
"Я хотів чай з Китаю, не з Індії.","Я хотів чай з Китаю, не з Індії ___."
"Вони запрошували мене піти на озеро, але я не мав часу.","Вони запрошували мене піти на озеро, але я не мав часу."
"На Різдво моя сестра готує вареники з картоплею, а я з м'ясом.","На Різдво моя сестра готує вареники з картоплею, а я ___ з м'ясом."
"Я сьогодні розмовляю голосніше, ніж учора.","Я сьогодні розмовляю голосніше, ніж учора."
Батькові.,Батькові.
"У минулому році ми вирощували тільки картоплю, але у цьому році і картоплю, і огірки.","У минулому році ми вирощували тільки картоплю, але у цьому році і картоплю, і огірки."
"Мені треба прибрати кімнату для гостей сьогодні, а тобі завтра.","Мені треба прибрати кімнату для гостей сьогодні, а тобі ___ завтра."
"Я вмію керувати човном, але не літаком.","Я вмію керувати човном, але не ___ літаком."
"Я про все шкодую, а батько ні про що.","Я про все шкодую, а батько ні ___ про що."
"Іван щодня грає у футбол, і я теж.","Іван щодня грає у футбол, і я теж ___ граю."
"Я розбив чашку, а сестра тарілку.","Я розбив чашку, а сестра ___ тарілку."
"Там я уперше спробував сало, а ти зрази.","Там я уперше спробував сало, а ти ___ зрази."
"Григорій мешкає у Львові, а Дмитро у Києві.","Григорій мешкає у Львові, а Дмитро ___ у Києві."
"Чоловік описує якесь місто, але нам неясно, яке.","Чоловік описує якесь місто, але нам неясно, яке ___."
"Я їм більше фруктів, ніж овочів.","Я їм більше фруктів, ніж ___ овочів."
"Краще втратити цілий день, ніж цілий тиждень.","Краще втратити цілий день, ніж ___ цілий тиждень."
"У 1950-ому році у Детройті мешкало понад 1,8 мільйона осіб, а вже у 2000-ому році менше мільйона.","У 1950-ому році у Детройті мешкало понад 1,8 мільйона осіб, а вже у 2000-ому році ___ менше мільйона."
"Розмоляю українською, але не дуже добре.","Розмовляю українською, але не дуже добре."
"На 5-ому каналі прогноз погоди обіцяє трошки дощу, а на 8-ому каналі реальний ураган.","На 5-ому каналі прогноз погоди обіцяє трошки дощу, а на 8-ому каналі ___ реальний ураган."
"Данило та Павло використовують у спортзалі великі гантелі, а Іван малі.","Данило та Павло використовують у спортзалі великі гантелі, а Іван ___ малі."
"Він має уродини у червні, і вона теж.","Він має уродини у червні, і вона ___ теж."
"Вона встала й вийшла, але ії чоловік не знав чому.","Вона встала й вийшла, але ії чоловік не знав чому ___."
"Я не можу бачити без окуларів, а моя дівчина може.","Я не можу бачити без окуларів, а моя дівчина ___ може."
"Мені учора щось снилося, але не памятаю що.","Мені учора щось снилося, але не пам'ятаю що ___."
"Я спочатку приправлю суп паприкою, а потім чорним перцем.","Я спочатку приправлю суп паприкою, а потім ___ чорним перцем."
"Я не їм стільки, як він.","Я не їм стільки, як він ___."
"Я волію їсти зрази з яловичини, а ти з свинини.","Я волію їсти зрази з яловичини, а ти ___ з свинини."
"Мої друзі поїдуть туда літаком, а я машиною.","Мої друзі поїдуть туда літаком, а я ___ машиною."
